ID,Title,Year,Budget,Gross Income
482,Ruby Cairo,1992,24000000,608866
483,Ruby in Paradise,1993,800000,1001437
484,Sankofa,1993,1000000,2198984
485,Schindler's List,1993,22000000,322243445
486,Searching for Bobby Fischer,1993,12000000,7266383
487,The Secret Garden,1993,18000000,31181347
488,Shadowlands,1993,22000000,25842377
489,Sister Act 2: Back in the Habit,1993,38000000,57319029
490,Siu nin Wong Fei Hung chi: Tit ma lau,1993,11000000,14694904
491,Six Degrees of Separation,1993,12000000,6405918
492,Sleepless in Seattle,1993,21000000,227927165
493,Sliver,1993,40000000,116300000
494,So I Married an Axe Murderer,1993,20000000,11585483
495,Son of the Pink Panther,1993,25000000,2438031
496,Stalingrad,1993,20000000,152972
497,Striking Distance,1993,30000000,24107867
498,Super Mario Bros.,1993,48000000,20915465
499,Teenage Mutant Ninja Turtles III,1993,21000000,42273609
500,The Temp,1993,15000000,6419876
501,There Goes My Baby,1994,10500000,123509
502,The Thing Called Love,1993,14000000,1029721
503,The Three Musketeers,1993,30000000,53898845
504,Three of Hearts,1993,11000000,5516936
505,Tombstone,1993,25000000,56505065
506,True Romance,1993,13000000,12281551
507,Untamed Heart,1993,7500000,18898806
508,Les visiteurs,1993,50000000,659810
509,Warlock: The Armageddon,1993,3000000,3902679
510,Wayne's World 2,1993,40000000,48197805
511,Weekend at Bernie's II,1993,7000000,12741891
512,What's Eating Gilbert Grape,1993,11000000,10032765
513,What's Love Got to Do with It,1993,15000000,39100956
514,3 Ninjas Kick Back,1994,20000000,11798854
515,8 Seconds,1994,7000000,19623396
516,Above the Rim,1994,3500000,16192320
517,Ace Ventura: Pet Detective,1994,15000000,107217396
518,The Air Up There,1994,17080000,21011318
519,Amateur,1994,2300000,757088
520,Angels in the Outfield,1994,24000000,50236831
521,Baby's Day Out,1994,48000000,16827402
522,Bad Girls,1994,25000000,15240435
523,Barcelona,1994,3200000,7266973
524,Beverly Hills Cop III,1994,50000000,119208989
525,Blankman,1994,30000000,7941977
526,Blink,1993,11000000,16696219
527,Blown Away,1994,28000000,30156002
528,Blue Sky,1994,16000000,3359465
529,Bullets Over Broadway,1994,20000000,13383747
530,Canadian Bacon,1995,11000000,163971
531,"Car 54, Where Are You?",1994,10700000,1238080
532,China Moon,1994,15000000,3038499
533,City Slickers II: The Legend of Curly's Gold,1994,40000000,43622150
534,Clean Slate,1994,18000000,7355425
535,Clear and Present Danger,1994,62000000,215887717
536,Clerks,1994,27000,3151130
537,The Client,1994,45000000,117615211
538,Clifford,1994,19000000,7408745
539,Color of Night,1994,40000000,19726050
540,The Cowboy Way,1994,35000000,20280016
541,Crooklyn,1994,14000000,13642861
542,The Crow,1994,23000000,50693129
543,Death Wish V: The Face of Death,1994,5000000,1702394
544,Death and the Maiden,1994,12000000,3103716
545,Dellamorte Dellamore,1994,4000000,253986
546,Disclosure,1994,55000000,214015089
547,Drop Squad,1994,2000000,734693
548,Drop Zone,1994,45000000,28735315
549,Dumb and Dumber,1994,17000000,247275374
550,Dung che sai duk,1994,40000000,1912490
551,Ed Wood,1994,18000000,5887457
552,Exit to Eden,1994,25000000,6841570
553,Exotica,1994,2000000,4221036
554,The Favor,1994,13000000,3134381
555,Federal Hill,1994,80000,514775
556,The Flintstones,1994,46000000,341631208
557,Forrest Gump,1994,55000000,678151134
558,Four Weddings and a Funeral,1994,4400000,245700832
559,Frankenstein,1994,45000000,112006296
560,Freaked,1993,11000000,29296
561,Fresh,1994,3500000,8094616
562,Getting Even with Dad,1994,30000000,18869594
563,The Glass Shield,1994,5000000,3291163
564,Go Fish,1994,15000,2405285
565,A Good Man in Africa,1994,20000000,2308390
566,Guarding Tess,1994,20000000,27058304
567,Gunmen,1993,8030000,3411885
568,Heavenly Creatures,1994,5000000,3049135
569,Highlander III: The Sorcerer,1994,26000000,12303080
570,Houseguest,1995,10500000,26325256
571,The Hudsucker Proxy,1994,40000000,2816518
572,I Love Trouble,1994,45000000,30806194
573,I'll Do Anything,1994,40000000,10424645
574,I.Q.,1994,25000000,26381221
575,Intersection,1994,45000000,21355893
576,Interview with the Vampire: The Vampire Chronicles,1994,60000000,223664608
577,It Could Happen to You,1994,20000000,37939757
578,It Runs in the Family,1994,15000000,70936
579,It's Pat: The Movie,1994,8000000,60822
580,Jason's Lyric,1994,7000000,20851521
581,The Jerky Boys,1995,7000000,7557877
582,Jimmy Hollywood,1994,30000000,3783003
583,The Jungle Book,1994,27000000,43229904
584,Junior,1994,60000000,108431355
585,Killing Zoe,1993,1500000,418961
586,The Last Seduction,1994,2500000,5842603
587,Legends of the Fall,1994,30000000,160638883
588,Leprechaun 2,1994,2000000,2260622
589,The Lion King,1994,45000000,968511805
590,Little Giants,1994,20000000,19306362
591,Little Odessa,1994,2300000,1095885
592,The Little Rascals,1994,23000000,67308282
593,Little Women,1994,18000000,50083616
594,Love Affair,1994,60000000,18272894
595,A Low Down Dirty Shame,1994,10000000,29392418
596,LÃ©on,1994,115000000,19501238
597,Major League II,1994,25000000,30626182
598,The Mask,1994,23000000,351583407
599,Maverick,1994,75000000,183031272
600,Mixed Nuts,1994,15000000,6821850
601,Mrs. Parker and the Vicious Circle,1994,7000000,2144667
602,Muriel's Wedding,1994,9000000,15482277
603,Mute Witness,1995,2000000,1125910
604,Nadja,1994,1000000,443169
605,Naked Gun 33 1/3: The Final Insult,1994,30000000,51132598
606,Natural Born Killers,1994,34000000,50282766
607,Nell,1994,31000000,106683817
608,The Next Karate Kid,1994,12000000,15876353
609,No Escape,1994,20000000,15339030
610,Nobody's Fool,1994,20000000,39491975
611,North,1994,40000000,7182747
612,Nostradamus,1994,20000000,364164
613,On Deadly Ground,1994,50000000,38590458
614,PCU,1994,8000000,4330020
615,The Pagemaster,1994,27000000,13670688
616,The Paper,1994,6000000,48424341
617,Police Academy: Mission to Moscow,1994,6200000,126247
618,Il postino,1994,3000000,21898920
619,Pred dozhdot,1994,1900000,763847
620,PrÃªt-Ã -Porter,1994,18000000,11300653
621,Pulp Fiction,1994,8000000,214179088
622,Quiz Show,1994,31000000,24822619
623,Radioland Murders,1994,15000000,1316865
624,Rapa Nui,1994,20000000,305070
625,Reality Bites,1994,11500000,33351557
626,The Ref,1994,11000000,11439193
627,La Reine Margot,1994,42000000,1318578
628,Renaissance Man,1994,40000000,24332324
629,The Return of the Texas Chainsaw Massacre,1994,600000,185898
630,RiÂ¢hie RiÂ¢h,1994,40000000,38087756
631,The River Wild,1994,45000000,94216343
632,The Road to Wellville,1994,25000000,6562513
633,The Santa Clause,1994,22000000,189833357
634,The Secret of Roan Inish,1994,3000000,6159269
635,Serial Mom,1994,13000000,7820688
636,The Shadow,1994,25000000,48063435
637,Shallow Grave,1994,2500000,2079569
638,The Shawshank Redemption,1994,25000000,28781790
639,Silent Fall,1994,30000000,3180674
640,Spanking the Monkey,1994,200000,1359736
641,The Specialist,1994,45000000,170362582
642,Speed,1994,30000000,350448145
643,Squanto: A Warrior's Tale,1994,19200000,3342223
644,Star Trek: Generations,1994,35000000,118071125
645,Stargate,1994,55000000,196567262
646,Street Fighter,1994,35000000,99431786
647,The Sum of Us,1994,3465000,766464
648,Surviving the Game,1994,7400000,7727256
649,The Swan Princess,1994,20000000,9771658
